DRUG	ENTREZ	NAME	DESC
carbetocin	5021	OXTR	oxytocin receptor
carbidopa	1644	DDC	dopa decarboxylase (aromatic L-amino acid decarboxylase)
carbimazole	7173	TPO	thyroid peroxidase
carbinoxamine	1128	CHRM1	cholinergic receptor, muscarinic 1
carbinoxamine	3269	HRH1	histamine receptor H1
carboplatin	213	ALB	albumin
carboprost tromethamine	5731	PTGER1	prostaglandin E receptor 1 (subtype EP1), 42kDa
carboxymycobactin s	3934	LCN2	lipocalin 2 (oncogene 24p3)
carboxymycobactin t	3934	LCN2	lipocalin 2 (oncogene 24p3)
carfentanil	4988	OPRM1	opioid receptor, mu 1
carmustine	2936	GSR	glutathione reductase
carphenazine	1812	DRD1	dopamine receptor D1
carphenazine	1813	DRD2	dopamine receptor D2
carphenazine	1816	DRD5	dopamine receptor D5
carprofen	5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
carteolol	153	ADRB1	adrenergic, beta-1-, receptor
carteolol	154	ADRB2	adrenergic, beta-2-, receptor, surface
carvedilol	148	ADRA1A	adrenergic, alpha-1A-, receptor
carvedilol	153	ADRB1	adrenergic, beta-1-, receptor
carvedilol	154	ADRB2	adrenergic, beta-2-, receptor, surface
carvedilol	2697	GJA1	gap junction protein, alpha 1, 43kDa (connexin 43)
carvedilol	3757	KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2
carvedilol	4718	NDUFC2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa
carvedilol	4879	NPPB	natriuretic peptide precursor B
carvedilol	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
carvedilol	7412	VCAM1	vascular cell adhesion molecule 1
carvedilol	7422	VEGF	vascular endothelial growth factor
cbz-leu-leu-tyr-ch2f	823	CAPN1	calpain 1, (mu/I) large subunit
cd564	5916	RARG	retinoic acid receptor, gamma
cefadroxil	6564	SLC15A1	solute carrier family 15 (oligopeptide transporter), member 1
cefadroxil	6565	SLC15A2	solute carrier family 15 (H+/peptide transporter), member 2
cefalotin	213	ALB	albumin
cefalotin	57124	CD248	CD248 antigen, endosialin
cefazolin	10257	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4
cefazolin	213	ALB	albumin
cefazolin	5444	PON1	paraoxonase 1
cefdinir	4353	MPO	myeloperoxidase
cefonicid	213	ALB	albumin
cefoperazone	213	ALB	albumin
ceftibuten	6564	SLC15A1	solute carrier family 15 (oligopeptide transporter), member 1
celecoxib	5170	PDPK1	3-phosphoinositide dependent protein kinase-1
celecoxib	5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
cerivastatin	3156	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
cerulenin	2194	FASN	fatty acid synthase
ceruletide	886	CCKAR	cholecystokinin A receptor
cetirizine	3269	HRH1	histamine receptor H1
cetrorelix	2798	GNRHR	gonadotropin-releasing hormone receptor
cetrorelix	3973	LHCGR	luteinizing hormone/choriogonadotropin receptor
cetuximab	1956	EGFR	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
cetuximab	2209	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)
cetuximab	2212	FCGR2A	Fc fragment of IgG, low affinity IIa, receptor (CD32)
cetuximab	2213	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)
cetuximab	2214	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)
cetuximab	2215	FCGR3B	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)
cetuximab	712	C1QA	complement component 1, q subcomponent, alpha polypeptide
cetuximab	713	C1QB	complement component 1, q subcomponent, beta polypeptide
cetuximab	714	C1QG	complement component 1, q subcomponent, gamma polypeptide
cetuximab	715	C1R	complement component 1, r subcomponent
cetuximab	716	C1S	complement component 1, s subcomponent
cevimeline	1128	CHRM1	cholinergic receptor, muscarinic 1
cevimeline	1131	CHRM3	cholinergic receptor, muscarinic 3
chlophedianol	3269	HRH1	histamine receptor H1
chloramphenicol	1604	DAF	decay accelerating factor for complement (CD55, Cromer blood group system)
chlordiazepoxide	2554	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1
chlormerodrin	6557	SLC12A1	solute carrier family 12 (sodium/potassium/chloride transporters), member 1
chlormerodrin	7915	ALDH5A1	aldehyde dehydrogenase 5 family, member A1 (succinate-semialdehyde dehydrogenase)
chlormezanone	706	BZRP	benzodiazapine receptor (peripheral)
chloroprocaine	116443	GRIN3A	glutamate receptor, ionotropic, N-methyl-D-aspartate 3A
chloroprocaine	3359	HTR3A	5-hydroxytryptamine (serotonin) receptor 3A
chloroprocaine	57053	CHRNA10	cholinergic receptor, nicotinic, alpha polypeptide 10
chloroprocaine	6336	SCN10A	sodium channel, voltage-gated, type X, alpha
chloroprocaine	6531	SLC6A3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3
chloroquine	2939	GSTA2	glutathione S-transferase A2
chloroquine	3040	HBA2	hemoglobin, alpha 2
chloroquine	54106	TLR9	toll-like receptor 9
chloroquine	7124	TNF	tumor necrosis factor (TNF superfamily, member 2)
chlorothiazide	3778	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
chlorothiazide	6559	SLC12A3	solute carrier family 12 (sodium/chloride transporters), member 3
chlorothiazide	759	CA1	carbonic anhydrase I
chlorothiazide	760	CA2	carbonic anhydrase II
chlorothiazide	762	CA4	carbonic anhydrase IV
chlorotrianisene	2099	ESR1	estrogen receptor 1
chlorpheniramine	3269	HRH1	histamine receptor H1
chlorpromazine	1813	DRD2	dopamine receptor D2
chlorpromazine	213	ALB	albumin
chlorpromazine	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
chlorpropamide	3758	KCNJ1	potassium inwardly-rectifying channel, subfamily J, member 1
chlorprothixene	1812	DRD1	dopamine receptor D1
chlorprothixene	1813	DRD2	dopamine receptor D2
chlorprothixene	1814	DRD3	dopamine receptor D3
chlorprothixene	3269	HRH1	histamine receptor H1
chlorprothixene	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
chlorprothixene	3357	HTR2B	5-hydroxytryptamine (serotonin) receptor 2B
chlorprothixene	3358	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C
chlorthalidone	6557	SLC12A1	solute carrier family 12 (sodium/potassium/chloride transporters), member 1
chlorzoxazone	3778	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
cholecalciferol	120227	CYP2R1	cytochrome P450, family 2, subfamily R, polypeptide 1
cholecalciferol	1593	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1
cholecalciferol	2638	GC	group-specific component (vitamin D binding protein)
cholic acid	2235	FECH	ferrochelatase (protoporphyria)
choline	10390	CEPT1	choline/ethanolamine phosphotransferase 1
choline	1103	CHAT	choline acetyltransferase
choline	1119	CHKA	choline kinase alpha
choline	1120	CHKB	choline kinase beta
choline	122618	C14orf175	chromosome 14 open reading frame 175
choline	126969		hypothetical protein MGC45474
choline	162466	PHOSPHO1	phosphatase, orphan 1
choline	166929		hypothetical protein MGC26963
choline	23446	CDW92	CDW92 antigen
choline	43	ACHE	acetylcholinesterase (YT blood group)
choline	5130	PCYT1A	phosphate cytidylyltransferase 1, choline, alpha isoform
choline	5337	PLD1	phospholipase D1, phophatidylcholine-specific
choline	5338	PLD2	phospholipase D2
choline	55349	CHDH	choline dehydrogenase
choline	57153		CTL2 protein
choline	590	BCHE	butyrylcholinesterase
choline	60482	SLC5A7	solute carrier family 5 (choline transporter), member 7
choline	80736	C6orf29	chromosome 6 open reading frame 29
choline	9468	PCYT1B	phosphate cytidylyltransferase 1, choline, beta isoform
choriogonadotropin alfa	2492	FSHR	follicle stimulating hormone receptor
choriogonadotropin alfa	3973	LHCGR	luteinizing hormone/choriogonadotropin receptor
cibacron blue	2950	GSTP1	glutathione S-transferase pi
ciclesonide	866	SERPINA6	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6
ciclopirox	246	ALOX15	arachidonate 15-lipoxygenase
ciclopirox	5742	PTGS1	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
ciclopirox	5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
cilastatin	1800	DPEP1	dipeptidase 1 (renal)
cilazapril	189	AGXT	alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)
cilostazol	5139	PDE3A	phosphodiesterase 3A, cGMP-inhibited
cilostazol	5141	PDE4A	phosphodiesterase 4A, cAMP-specific (phosphodiesterase E2 dunce homolog, Drosophila)
cilostazol	5142	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)
cimetidine	3274	HRH2	histamine receptor H2
cimetidine	9356	SLC22A6	solute carrier family 22 (organic anion transporter), member 6
cinacalcet	846	CASR	calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)
cinalukast	10800	CYSLTR1	cysteinyl leukotriene receptor 1
cinnarizine	1813	DRD2	dopamine receptor D2
cinnarizine	3269	HRH1	histamine receptor H1
cinnarizine	773	CACNA1A	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit
cinolazepam	706	BZRP	benzodiazapine receptor (peripheral)
ciprofloxacin	213	ALB	albumin
ciprofloxacin	7153	TOP2A	topoisomerase (DNA) II alpha 170kDa
cis-[4,5-bis-(4-bromophenyl)-2-(2-ethoxy-4-methoxyphenyl)-4,5-dihydroimidazol-1-yl]-[4-(2-hydroxyethyl)piperazin-1-yl]methanone	4193	MDM2	Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)
cis-4-cyano-4-[3-(cyclopentyloxy)-4-methoxyphenyl]cyclohexanecarboxylic acid	5142	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)
cisapride	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
cisapride	3359	HTR3A	5-hydroxytryptamine (serotonin) receptor 3A
cisapride	3360	HTR4	5-hydroxytryptamine (serotonin) receptor 4
cisapride	3757	KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2
cisatracurium besylate	1135	CHRNA2	cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)
citalopram	6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
citric acid	10673	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b
citric acid	1360	CPB1	carboxypeptidase B1 (tissue)
citric acid	231	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)
citric acid	27232	GNMT	glycine N-methyltransferase
citric acid	283	ANG	angiogenin, ribonuclease, RNase A family, 5
citric acid	59338	PLEKHA1	pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1
citric acid	6037	RNASE3	ribonuclease, RNase A family, 3 (eosinophil cationic protein)
citric acid	6280	S100A9	S100 calcium binding protein A9 (calgranulin B)
citric acid	635	BHMT	betaine-homocysteine methyltransferase
citric acid	733	C8G	complement component 8, gamma polypeptide
citric acid	7371	UCK2	uridine-cytidine kinase 2
citric acid	8654	PDE5A	phosphodiesterase 5A, cGMP-specific
citric acid	9955	HS3ST3A1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1
cladribine	100	ADA	adenosine deaminase
cladribine	647088	NoName	NoDesc
clemastine	3269	HRH1	histamine receptor H1
clenbuterol	154	ADRB2	adrenergic, beta-2-, receptor, surface
clenbuterol	7124	TNF	tumor necrosis factor (TNF superfamily, member 2)
clidinium	1128	CHRM1	cholinergic receptor, muscarinic 1
clobazam	2554	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1
clobetasol	301	ANXA1	annexin A1
clocortolone	301	ANXA1	annexin A1
clodronate	291	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4
clodronate	292	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5
clodronate	293	SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6
clodronate	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
clofarabine	5422	POLA	polymerase (DNA directed), alpha
clofarabine	6240	RRM1	ribonucleotide reductase M1 polypeptide
clofibrate	4023	LPL	lipoprotein lipase
clofibrate	5465	PPARA	peroxisome proliferative activated receptor, alpha
clomifene	2099	ESR1	estrogen receptor 1
clomipramine	2950	GSTP1	glutathione S-transferase pi
clomipramine	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
clomipramine	6530	SLC6A2	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
clomipramine	6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
clonazepam	213	ALB	albumin
clonazepam	2554	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1
clonazepam	706	BZRP	benzodiazapine receptor (peripheral)
clonidine	150	ADRA2A	adrenergic, alpha-2A-, receptor
clonidine	6865	TACR2	tachykinin receptor 2
clopidogrel	1576	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4
clopidogrel	6403	SELP	selectin P (granule membrane protein 140kDa, antigen CD62)
clopidogrel	64805	P2RY12	purinergic receptor P2Y, G-protein coupled, 12
clorazepate	2554	GABRA1	gamma-aminobutyric acid (GABA) A receptor, alpha 1
clorazepate	706	BZRP	benzodiazapine receptor (peripheral)
clotiazepam	706	BZRP	benzodiazapine receptor (peripheral)
clotrimazole	3783	KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
cloxacillin	213	ALB	albumin
clozapine	1812	DRD1	dopamine receptor D1
clozapine	1813	DRD2	dopamine receptor D2
clozapine	1815	DRD4	dopamine receptor D4
clozapine	3269	HRH1	histamine receptor H1
clozapine	3350	HTR1A	5-hydroxytryptamine (serotonin) receptor 1A
clozapine	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
clozapine	3358	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C
clozapine	59340	HRH4	histamine receptor H4
coagulation factor ix	2147	F2	coagulation factor II (thrombin)
coagulation factor ix	2155	F7	coagulation factor VII (serum prothrombin conversion accelerator)
coagulation factor ix	2157	F8	coagulation factor VIII, procoagulant component (hemophilia A)
coagulation factor ix	2159	F10	coagulation factor X
coagulation factor ix	2677	GGCX	gamma-glutamyl carboxylase
coagulation factor ix	4035	LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)
coagulation factor ix	90338	ZNF160	zinc finger protein 160
coagulation factor viia	2152	F3	coagulation factor III (thromboplastin, tissue factor)
coagulation factor viia	2155	F7	coagulation factor VII (serum prothrombin conversion accelerator)
coagulation factor viia	2159	F10	coagulation factor X
coagulation factor viia	2677	GGCX	gamma-glutamyl carboxylase
coagulation factor viia	3249	HPN	hepsin (transmembrane protease, serine 1)
coagulation factor viia	7035	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
cocaine	11280	SCN11A	sodium channel, voltage-gated, type XI, alpha
cocaine	1812	DRD1	dopamine receptor D1
cocaine	1814	DRD3	dopamine receptor D3
cocaine	4986	OPRK1	opioid receptor, kappa 1
cocaine	6331	SCN5A	sodium channel, voltage-gated, type V, alpha (long QT syndrome 3)
cocaine	6336	SCN10A	sodium channel, voltage-gated, type X, alpha
cocaine	6529	SLC6A1	solute carrier family 6 (neurotransmitter transporter, GABA), member 1
cocaine	6530	SLC6A2	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
cocaine	6531	SLC6A3	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3
cocaine	6532	SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
codeine	4985	OPRD1	opioid receptor, delta 1
codeine	4986	OPRK1	opioid receptor, kappa 1
codeine	4988	OPRM1	opioid receptor, mu 1
coenzyme a	3156	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
coenzyme a	8435	SOAT2	sterol O-acyltransferase 2
coenzyme a persulfide	3712	IVD	isovaleryl Coenzyme A dehydrogenase
colchicine	203068	TUBB	tubulin, beta polypeptide
colchicine	4210	MEFV	Mediterranean fever
colchicine	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
colchicine	81027	TUBB1	tubulin, beta 1
collagenase	1277	COL1A1	collagen, type I, alpha 1
collagenase	1278	COL1A2	collagen, type I, alpha 2
collagenase	1280	COL2A1	collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)
collagenase	1281	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)
compound 12, n-acetyl-4-[(carboxycarbonyl)(2-carboxyphenyl)amino]-n-pentyl-1-napthylalaniamide	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
compound 15	2099	ESR1	estrogen receptor 1
compound 15	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
compound 16	2099	ESR1	estrogen receptor 1
compound 18	2099	ESR1	estrogen receptor 1
compound 19	2099	ESR1	estrogen receptor 1
compound 19	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
compound 4-d	2099	ESR1	estrogen receptor 1
compound 5, 2-(naphthalen-1-yl-oxalyl-amino)-benzoicacid	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
compound 9	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
conivaptan	552	AVPR1A	arginine vasopressin receptor 1A
conivaptan	554	AVPR2	arginine vasopressin receptor 2 (nephrogenic diabetes insipidus)
conjugated estrogens	2099	ESR1	estrogen receptor 1
coproporphyrin i	7389	UROD	uroporphyrinogen decarboxylase
coproporphyrin iii	7389	UROD	uroporphyrinogen decarboxylase
corticotropin	1392	CRH	corticotropin releasing hormone
corticotropin	4158	MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)
cosyntropin	4158	MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)
cp-166572, 2-hydroxymethyl-4-(4-n,n-dimethylaminosulfonyl-1-piperazino)-pyrimidine	6652	SORD	sorbitol dehydrogenase
cp-271485	4321	MMP12	matrix metalloproteinase 12 (macrophage elastase)
cp403700, (s)-1-{2-[(5-chloro-1h-indole-2-carbonyl)-amino]-3-phenyl-propionyl}-azetidine-3-carboxylate	5836	PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)
cp-526423	5836	PYGL	phosphorylase, glycogen; liver (Hers disease, glycogen storage disease type VI)
creatine	1152	CKB	creatine kinase, brain
creatine	1158	CKM	creatine kinase, muscle
creatine	1160	CKMT2	creatine kinase, mitochondrial 2 (sarcomeric)
creatine	2593	GAMT	guanidinoacetate N-methyltransferase
creatine	2628	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)
creatine	548596	NoName	NoDesc
creatine	6535	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8
cromoglicate	3778	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
cromoglicate	6286	S100P	S100 calcium binding protein P
crotonaldehyde	217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
cryptenamine	1128	CHRM1	cholinergic receptor, muscarinic 1
cryptenamine	1129	CHRM2	cholinergic receptor, muscarinic 2
cryptenamine	1131	CHRM3	cholinergic receptor, muscarinic 3
cryptenamine	1132	CHRM4	cholinergic receptor, muscarinic 4
cryptenamine	1133	CHRM5	cholinergic receptor, muscarinic 5
cyanamide	760	CA2	carbonic anhydrase II
cyanocobalamin	166785	MMAA	methylmalonic aciduria (cobalamin deficiency) type A
cyanocobalamin	25974		DKFZP564I122 protein
cyanocobalamin	326625	MMAB	methylmalonic aciduria (cobalamin deficiency) type B
cyanocobalamin	4552	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase
cyanocobalamin	4594	MUT	methylmalonyl Coenzyme A mutase
cyanocobalamin	6947	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family)
cyanocobalamin	6948	TCN2	transcobalamin II; macrocytic anemia
cyanocobalamin	8029	CUBN	cubilin (intrinsic factor-cobalamin receptor)
cyanocobalamin	81693	AMN	amnionless homolog (mouse)
cyclacillin	6564	SLC15A1	solute carrier family 15 (oligopeptide transporter), member 1
cyclic 3',5'-thymidine monophosphate	56953	NT5M	5',3'-nucleotidase, mitochondrial
cyclizine	1128	CHRM1	cholinergic receptor, muscarinic 1
cyclizine	1129	CHRM2	cholinergic receptor, muscarinic 2
cyclizine	1131	CHRM3	cholinergic receptor, muscarinic 3
cyclizine	3269	HRH1	histamine receptor H1
cyclobenzaprine	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
cyclohexanol	125	ADH1B	alcohol dehydrogenase IB (class I), beta polypeptide
cyclohexyl-{4-[5-(3,4-dichlorophenyl)-2-piperidin-4-yl-3-propyl-3h-imidazol-4-yl]-pyrimidin-2-yl}amine	5602	MAPK10	mitogen-activated protein kinase 10
cycloleucine	2902	GRIN1	glutamate receptor, ionotropic, N-methyl D-aspartate 1
cyclopentolate	1128	CHRM1	cholinergic receptor, muscarinic 1
cyclopropyl-{4-[5-(3,4-dichlorophenyl)-2-[(1-methyl)-piperidin]-4-yl-3-propyl-3h-imidazol-4-yl]-pyrimidin-2-yl}amine	5602	MAPK10	mitogen-activated protein kinase 10
cyclosporine	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
cyclosporine	5478	PPIA	peptidylprolyl isomerase A (cyclophilin A)
cyclosporine	5535	PPP3R2	protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, beta isoform (calcineurin B, type II)
cyclosporine	819	CAMLG	calcium modulating ligand
cyclothiazide	3778	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
cyclothiazide	486	FXYD2	FXYD domain containing ion transport regulator 2
cyclothiazide	759	CA1	carbonic anhydrase I
cyclothiazide	760	CA2	carbonic anhydrase II
cyclothiazide	762	CA4	carbonic anhydrase IV
cycrimine	1128	CHRM1	cholinergic receptor, muscarinic 1
cyproheptadine	3269	HRH1	histamine receptor H1
cyproheptadine	3356	HTR2A	5-hydroxytryptamine (serotonin) receptor 2A
cyproterone	367	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
cysteamine	6750	SST	somatostatin
cysteine sulfenic acid	114771	PGLYRP3	peptidoglycan recognition protein 3
cysteine sulfenic acid	1787	DNMT2	DNA (cytosine-5-)-methyltransferase 2
cysteine sulfenic acid	2938	GSTA1	glutathione S-transferase A1
cysteine sulfenic acid	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
cysteine sulfenic acid	994	CDC25B	cell division cycle 25B
cysteinesulfonic acid	1514	CTSL	cathepsin L
cysteinesulfonic acid	152007	C9orf19	chromosome 9 open reading frame 19
cysteinesulfonic acid	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
cysteinesulfonic acid	994	CDC25B	cell division cycle 25B
cytarabine	213	ALB	albumin
cytarabine	5423	POLB	polymerase (DNA directed), beta
cytidine	7371	UCK2	uridine-cytidine kinase 2
cytidine-5'-monophosphate	7371	UCK2	uridine-cytidine kinase 2
cytidine-5'-triphosphate	7371	UCK2	uridine-cytidine kinase 2
dacarbazine	23649	POLA2	polymerase (DNA directed), alpha 2 (70kD subunit)
daclizumab	2209	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)
daclizumab	2212	FCGR2A	Fc fragment of IgG, low affinity IIa, receptor (CD32)
daclizumab	2213	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)
daclizumab	2214	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)
daclizumab	2215	FCGR3B	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)
daclizumab	3559	IL2RA	interleukin 2 receptor, alpha
daclizumab	3560	IL2RB	interleukin 2 receptor, beta
daclizumab	712	C1QA	complement component 1, q subcomponent, alpha polypeptide
daclizumab	713	C1QB	complement component 1, q subcomponent, beta polypeptide
daclizumab	714	C1QG	complement component 1, q subcomponent, gamma polypeptide
daclizumab	715	C1R	complement component 1, r subcomponent
daidzin	217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
danazol	114814	GNRHR2	gonadotropin-releasing hormone (type 2) receptor 2
danazol	2099	ESR1	estrogen receptor 1
danazol	2798	GNRHR	gonadotropin-releasing hormone receptor
danazol	6347	CCL2	chemokine (C-C motif) ligand 2
danazol	6462	SHBG	sex hormone-binding globulin
dansylamide	760	CA2	carbonic anhydrase II
dantrolene	213	ALB	albumin
dantrolene	6261	RYR1	ryanodine receptor 1 (skeletal)
dapiprazole	146	ADRA1D	adrenergic, alpha-1D-, receptor
dapiprazole	147	ADRA1B	adrenergic, alpha-1B-, receptor
dapiprazole	148	ADRA1A	adrenergic, alpha-1A-, receptor
dapsone	573971	NoName	NoDesc
darbepoetin alfa	2057	EPOR	erythropoietin receptor
darifenacin	1131	CHRM3	cholinergic receptor, muscarinic 3
dasatinib	1969	EPHA2	EPH receptor A2
dasatinib	25	ABL1	v-abl Abelson murine leukemia viral oncogene homolog 1
dasatinib	2534	FYN	FYN oncogene related to SRC, FGR, YES
dasatinib	27	ABL2	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)
dasatinib	3815	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
dasatinib	3932	LCK	lymphocyte-specific protein tyrosine kinase
dasatinib	5159	PDGFRB	platelet-derived growth factor receptor, beta polypeptide
dasatinib	6714	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)
dasatinib	6777	STAT5B	signal transducer and activator of transcription 5B
dasatinib	7525	YES1	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1
daunorubicin	4363	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
daunorubicin	5243	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
dazoxiben	6916	TBXAS1	thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)
dazoxiben	6916	TBXAS1	thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)
deamido-nad+	349565	NMNAT3	nicotinamide nucleotide adenylyltransferase 3
deamido-nad+	64802	NMNAT1	nicotinamide nucleotide adenylyltransferase 1
debrisoquin	146	ADRA1D	adrenergic, alpha-1D-, receptor
debrisoquin	147	ADRA1B	adrenergic, alpha-1B-, receptor
debrisoquin	148	ADRA1A	adrenergic, alpha-1A-, receptor
debrisoquin	150	ADRA2A	adrenergic, alpha-2A-, receptor
debrisoquin	151	ADRA2B	adrenergic, alpha-2B-, receptor
debrisoquin	152	ADRA2C	adrenergic, alpha-2C-, receptor
debrisoquin	6530	SLC6A2	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2
debromohymenialdisine	10188	TNK2	tyrosine kinase, non-receptor, 2
debromohymenialdisine	1195	CLK1	CDC-like kinase 1
decamethonium	1135	CHRNA2	cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)
decamethonium	43	ACHE	acetylcholinesterase (YT blood group)
decanoic acid	213	ALB	albumin
decitabine	1786	DNMT1	DNA (cytosine-5-)-methyltransferase 1
decylamine-n,n-dimethyl-n-oxide	1723	DHODH	dihydroorotate dehydrogenase
defibrotide	134	ADORA1	adenosine A1 receptor
defibrotide	135	ADORA2A	adenosine A2a receptor
defibrotide	136	ADORA2B	adenosine A2b receptor
delta1-dihydrotestosterone	367	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
